,work_year,experience_level,job_title,remote_ratio,company_size,salary_in_usd
0,2023,SE,Applied Scientist,0,L,222200
1,2023,SE,Applied Scientist,0,L,136000
2,2023,SE,Data Scientist,0,M,147100
3,2023,SE,Data Scientist,0,M,90700
4,2023,SE,Data Analyst,100,M,130000
5,2023,SE,Data Analyst,100,M,100000
6,2023,EN,Applied Scientist,0,L,213660
7,2023,EN,Applied Scientist,0,L,130760
8,2023,SE,Data Modeler,0,M,147100
9,2023,SE,Data Modeler,0,M,90700
10,2023,SE,Data Scientist,0,M,170000
11,2023,SE,Data Scientist,0,M,150000
12,2023,MI,Data Analyst,100,M,150000
13,2023,MI,Data Analyst,100,M,110000
14,2023,SE,Business Intelligence Engineer,0,M,225000
15,2023,SE,Business Intelligence Engineer,0,M,156400
16,2023,SE,Machine Learning Engineer,0,M,200000
17,2023,SE,Machine Learning Engineer,0,M,130000
18,2023,SE,Data Engineer,0,M,253200
19,2023,SE,Data Engineer,0,M,90700
20,2023,SE,Computer Vision Engineer,0,M,342810
21,2023,SE,Computer Vision Engineer,0,M,184590
22,2023,MI,Data Engineer,0,M,162500
23,2023,MI,Data Engineer,0,M,130000
24,2023,MI,Data Analyst,0,M,105380
25,2023,MI,Data Analyst,0,M,64500
26,2023,EN,Applied Scientist,0,L,204620
27,2023,EN,Applied Scientist,0,L,110680
28,2023,SE,Data Engineer,0,M,270703
29,2023,SE,Data Engineer,0,M,221484
30,2023,SE,Data Scientist,100,M,212750
31,2023,SE,Data Scientist,100,M,185000
32,2023,SE,Data Scientist,100,M,262000
33,2023,SE,Data Scientist,100,M,245000
34,2023,SE,Data Scientist,100,M,275300
35,2023,SE,Data Scientist,100,M,183500
36,2023,SE,Data Scientist,100,M,218500
37,2023,SE,Data Scientist,100,M,199098
38,2023,SE,Data Engineer,100,M,203300
39,2023,SE,Data Engineer,100,M,123600
40,2023,SE,Research Engineer,0,M,189110
41,2023,SE,Research Engineer,0,M,139000
42,2023,EX,Data Scientist,0,M,258750
43,2023,EX,Data Scientist,0,M,185000
44,2023,SE,Data Engineer,100,M,231500
45,2023,SE,Data Engineer,100,M,166000
46,2023,SE,Data Scientist,100,M,172500
47,2023,SE,Data Scientist,100,M,110500
48,2023,SE,Data Engineer,0,M,238000
49,2023,SE,Data Engineer,0,M,176000
50,2023,SE,Data Engineer,100,M,237000
51,2023,SE,Data Engineer,100,M,201450
52,2023,SE,Applied Scientist,0,L,309400
53,2023,SE,Applied Scientist,0,L,159100
54,2023,SE,Data Engineer,0,M,115000
55,2023,SE,Data Engineer,0,M,81500
56,2023,SE,Data Scientist,100,M,237000
57,2023,SE,Data Scientist,100,M,201450
58,2023,SE,Computer Vision Engineer,0,M,280000
59,2023,SE,Computer Vision Engineer,0,M,210000
60,2023,SE,Data Architect,100,M,280100
61,2023,SE,Data Architect,100,M,168100
62,2023,SE,Data Engineer,100,M,193500
63,2023,SE,Data Engineer,100,M,139000
64,2023,SE,Machine Learning Engineer,100,M,150000
65,2023,SE,Business Intelligence Engineer,0,M,185900
66,2023,SE,Business Intelligence Engineer,0,M,129300
67,2023,SE,Data Engineer,100,M,225000
68,2023,SE,Data Engineer,100,M,175000
69,2023,SE,Data Engineer,0,M,185000
70,2023,SE,Data Engineer,0,M,140000
71,2023,SE,Data Scientist,0,M,105000
72,2023,SE,Data Scientist,0,M,70000
73,2023,EN,Machine Learning Engineer,0,M,163196
74,2023,EN,Machine Learning Engineer,0,M,145885
75,2023,SE,Data Engineer,100,M,217000
76,2023,SE,Data Engineer,100,M,185000
77,2023,SE,Data Analyst,0,L,202800
78,2023,SE,Data Analyst,0,L,104300
79,2023,SE,Data Analyst,0,M,145000
80,2023,SE,Data Analyst,0,M,65000
81,2023,SE,Data Engineer,0,M,165000
82,2023,SE,Data Engineer,0,M,132300
83,2023,SE,Data Engineer,0,M,179170
84,2023,SE,Data Engineer,0,M,94300
85,2023,SE,Analytics Engineer,0,M,152500
86,2023,SE,Analytics Engineer,0,M,116450
87,2023,SE,Data Engineer,0,M,247300
88,2023,SE,Data Engineer,0,M,133800
89,2023,SE,Research Engineer,0,M,203000
90,2023,SE,Research Engineer,0,M,133000
91,2023,EN,Research Scientist,50,L,220000
92,2023,SE,Data Scientist,0,M,150000
93,2023,SE,Data Scientist,0,M,120000
94,2023,SE,Analytics Engineer,0,M,289800
95,2023,SE,Analytics Engineer,0,M,214000
96,2023,SE,Analytics Engineer,0,M,179820
97,2023,SE,Analytics Engineer,0,M,143860
98,2023,SE,Machine Learning Engineer,100,M,283200
99,2023,SE,Machine Learning Engineer,100,M,188800
100,2023,SE,Analytics Engineer,0,M,289800
101,2023,SE,Analytics Engineer,0,M,214200
102,2023,SE,Data Engineer,0,M,185900
103,2023,SE,Data Engineer,0,M,129300
104,2023,SE,Data Engineer,0,M,252000
105,2023,SE,Data Engineer,0,M,129000
106,2023,MI,Data Analytics Manager,0,M,155000
107,2023,MI,Data Analytics Manager,0,M,140000
108,2023,SE,Data Engineer,100,M,161800
109,2023,SE,Data Engineer,100,M,141600
110,2023,SE,Machine Learning Engineer,0,L,342300
111,2023,SE,Machine Learning Engineer,0,L,176100
112,2023,MI,Data Engineer,100,M,100000
113,2023,MI,Data Engineer,100,M,70000
114,2023,EN,Data Engineer,0,M,85000
115,2023,EN,Data Engineer,0,M,65000
116,2023,SE,Data Scientist,100,M,138784
117,2023,SE,Data Scientist,100,M,83270
118,2023,EN,Data Analyst,0,M,75000
119,2023,EN,Data Analyst,0,M,70000
120,2023,SE,Data Analyst,0,M,204500
121,2023,SE,Data Analyst,0,M,138900
122,2023,SE,Machine Learning Engineer,100,M,318300
123,2023,SE,Machine Learning Engineer,100,M,212200
124,2023,SE,Data Engineer,100,M,95000
125,2023,SE,Data Engineer,100,M,75000
126,2023,SE,Data Scientist,0,M,195000
127,2023,SE,Data Scientist,0,M,160000
128,2023,SE,Analytics Engineer,0,M,230000
129,2023,SE,Analytics Engineer,0,M,143200
130,2023,MI,Data Engineer,100,M,100000
131,2023,MI,Data Engineer,100,M,70000
132,2023,MI,Business Data Analyst,50,L,105000
133,2023,SE,Data Engineer,0,M,145000
134,2023,SE,Data Engineer,0,M,115000
135,2023,SE,Data Analyst,0,M,168400
136,2023,SE,Data Analyst,0,M,105200
137,2023,SE,Applied Scientist,0,L,309400
138,2023,SE,Applied Scientist,0,L,159100
139,2023,SE,Machine Learning Engineer,0,M,190000
140,2023,SE,Machine Learning Engineer,0,M,150000
141,2023,MI,Data Engineer,0,M,162500
142,2023,MI,Data Engineer,0,M,130000
143,2023,SE,Analytics Engineer,100,M,150000
144,2023,SE,Analytics Engineer,100,M,120000
145,2023,SE,Data Engineer,0,M,145000
146,2023,SE,Data Engineer,0,M,120000
147,2023,SE,Applied Scientist,0,L,222200
148,2023,SE,Applied Scientist,0,L,136000
149,2023,SE,Data Engineer,0,M,241000
150,2023,SE,Data Engineer,0,M,155000
151,2023,SE,Data Engineer,100,M,220000
152,2023,SE,Data Engineer,100,M,190000
153,2023,EN,Data Analyst,100,M,85000
154,2023,EN,Data Analyst,100,M,75000
155,2023,SE,Data Engineer,0,M,160000
156,2023,SE,Data Engineer,0,M,140000
157,2023,MI,Machine Learning Engineer,0,M,250000
158,2023,SE,Data Scientist,0,M,228000
159,2023,SE,Data Scientist,0,M,186000
160,2023,SE,Data Scientist,0,M,190000
161,2023,SE,Data Scientist,0,M,170000
162,2023,MI,Research Engineer,0,M,230000
163,2023,MI,Research Engineer,0,M,200000
164,2023,SE,Data Architect,100,M,180000
165,2023,SE,Data Architect,100,M,115000
166,2023,SE,Data Architect,100,M,200000
167,2023,SE,Data Architect,100,M,115000
168,2023,EX,Data Engineer,0,M,220000
169,2023,EX,Data Engineer,0,M,205000
170,2023,MI,Data Engineer,0,M,180000
171,2023,MI,Data Engineer,0,M,130000
172,2023,SE,Data Engineer,100,M,200000
173,2023,SE,Data Engineer,100,M,150000
174,2023,SE,Computer Vision Engineer,0,M,215000
175,2023,SE,Computer Vision Engineer,0,M,170000
176,2023,SE,Machine Learning Engineer,0,M,247500
177,2023,SE,Machine Learning Engineer,0,M,172200
178,2023,SE,Data Analyst,100,M,120000
179,2023,SE,Data Analyst,100,M,75000
180,2023,SE,Data Analyst,0,M,140000
181,2023,SE,Data Analyst,0,M,120000
182,2023,SE,Data Engineer,0,M,128000
183,2023,SE,Data Engineer,0,M,81500
184,2023,SE,Data Engineer,0,M,145000
185,2023,SE,Data Engineer,0,M,115000
186,2023,SE,Data Engineer,0,M,185000
187,2023,SE,Data Engineer,0,M,140000
188,2023,EX,Head of Data,0,M,329500
189,2023,EX,Head of Data,0,M,269600
190,2023,SE,Data Quality Analyst,0,M,100000
191,2023,SE,Data Quality Analyst,0,M,80000
192,2023,SE,Data Scientist,0,M,250000
193,2023,SE,Data Scientist,0,M,162500
194,2023,MI,AI Developer,100,M,200000
195,2023,SE,Data Engineer,0,M,145000
196,2023,SE,Data Engineer,0,M,100000
197,2023,EX,Data Engineer,0,M,145000
198,2023,EX,Data Engineer,0,M,115000
199,2023,SE,Data Scientist,0,M,203500
200,2023,SE,Data Scientist,0,M,152000
201,2023,SE,Data Scientist,0,L,239000
202,2023,SE,Data Scientist,0,L,122900
203,2023,SE,Data Scientist,0,M,237000
204,2023,SE,Data Scientist,0,M,145000
205,2023,SE,Data Science Manager,0,M,191765
206,2023,SE,Data Science Manager,0,M,134236
207,2023,SE,Analytics Engineer,100,M,190000
208,2023,SE,Analytics Engineer,100,M,112000
209,2023,EN,Data Engineer,0,M,85000
210,2023,EN,Data Engineer,0,M,65000
211,2023,SE,Data Analyst,0,M,135000
212,2023,SE,Data Analyst,0,M,105500
213,2023,SE,Research Engineer,0,M,293000
214,2023,SE,Research Engineer,0,M,185000
215,2023,SE,Data Analyst,0,M,80000
216,2023,SE,Data Analyst,0,M,70000
217,2023,SE,Data Engineer,100,M,220000
218,2023,SE,Data Engineer,100,M,160000
219,2023,SE,Data Scientist,100,M,175000
220,2023,SE,Data Scientist,100,M,145000
221,2023,SE,Data Analyst,0,M,200000
222,2023,SE,Data Analyst,0,M,148500
223,2023,SE,Data Engineer,0,L,240500
224,2023,SE,Data Engineer,0,L,123700
225,2023,SE,Analytics Engineer,100,M,152900
226,2023,SE,Analytics Engineer,100,M,117100
227,2023,SE,Analytics Engineer,100,M,173000
228,2023,SE,Analytics Engineer,100,M,113000
229,2023,SE,Applied Scientist,0,L,260000
230,2023,SE,Applied Scientist,0,L,136000
231,2023,EX,Data Engineer,0,M,175000
232,2023,EX,Data Engineer,0,M,110000
233,2023,SE,Applied Scientist,0,L,260000
234,2023,SE,Applied Scientist,0,L,136000
235,2023,SE,Research Scientist,100,M,130000
236,2023,SE,Research Scientist,100,M,110000
237,2023,SE,Applied Scientist,100,M,205000
238,2023,SE,Applied Scientist,100,M,184000
239,2023,SE,Data Analyst,100,M,149500
240,2023,SE,Data Analyst,100,M,127075
241,2023,SE,Data Scientist,0,M,195000
242,2023,SE,Data Scientist,0,M,160000
243,2023,SE,Data Engineer,100,M,219535
244,2023,SE,Data Engineer,100,M,146115
245,2023,SE,Data Scientist,0,M,170000
246,2023,SE,Data Scientist,0,M,135000
247,2023,SE,Data Scientist,100,M,175000
248,2023,SE,Data Scientist,100,M,145000
249,2023,SE,Data Scientist,0,M,199000
250,2023,SE,Data Scientist,0,M,162000
251,2023,SE,Applied Scientist,0,L,222200
252,2023,SE,Applied Scientist,0,L,136000
253,2023,EX,Analytics Engineer,100,M,221000
254,2023,EX,Analytics Engineer,100,M,153000
255,2023,SE,Data Analyst,0,M,187000
256,2023,SE,Data Analyst,0,M,128000
257,2023,SE,Research Scientist,0,M,210000
258,2023,SE,Research Scientist,0,M,136000
259,2023,SE,Data Scientist,100,M,175000
260,2023,SE,Data Scientist,100,M,100000
261,2023,SE,Data Engineer,0,M,179000
262,2023,SE,Data Engineer,0,M,109000
263,2023,SE,Data Scientist,0,M,245000
264,2023,SE,Data Scientist,0,M,180000
265,2023,SE,Data Analyst,100,M,142000
266,2023,SE,Data Analyst,100,M,75000
267,2023,SE,Data Manager,0,M,198800
268,2023,SE,Data Manager,0,M,105200
269,2023,SE,Data Analyst,100,M,125000
270,2023,SE,Data Analyst,100,M,112000
271,2023,SE,Data Scientist,0,M,210000
272,2023,SE,Data Scientist,0,M,155000
273,2023,SE,Data Manager,100,M,115000
274,2023,SE,Data Manager,100,M,86000
275,2023,SE,Data Scientist,0,M,165000
276,2023,SE,Data Scientist,0,M,140000
277,2023,SE,Data Analyst,0,M,139000
278,2023,SE,Data Analyst,0,M,106000
279,2023,MI,Machine Learning Engineer,100,M,150450
280,2023,SE,Data Architect,0,M,250500
281,2023,SE,Data Architect,0,M,159500
282,2023,SE,Data Engineer,0,M,145000
283,2023,SE,Data Engineer,0,M,115000
284,2023,SE,Data Analyst,0,M,140000
285,2023,SE,Data Analyst,0,M,120000
286,2023,EN,Data Scientist,100,M,130001
287,2023,EN,Data Scientist,100,M,71907
288,2023,MI,Data Scientist,100,M,93918
289,2023,MI,Data Scientist,100,M,51962
290,2023,EN,Data Engineer,0,M,85000
291,2023,EN,Data Engineer,0,M,65000
292,2023,SE,Machine Learning Engineer,0,M,257000
293,2023,SE,Machine Learning Engineer,0,M,147000
294,2023,SE,Data Engineer,100,M,222000
295,2023,SE,Data Engineer,100,M,175000
296,2023,SE,Data Scientist,100,M,203000
297,2023,SE,Data Scientist,100,M,133200
298,2023,EN,Applied Scientist,0,L,213660
299,2023,EN,Applied Scientist,0,L,130760
300,2023,SE,Data Engineer,0,M,221000
301,2023,SE,Data Engineer,0,M,147000
302,2023,SE,Data Quality Analyst,0,M,100000
303,2023,SE,Data Quality Analyst,0,M,80000
304,2023,SE,Data Scientist,0,M,185900
305,2023,SE,Data Scientist,0,M,129300
306,2023,SE,Data Scientist,100,M,238000
307,2023,SE,Data Scientist,100,M,156000
308,2023,SE,Machine Learning Engineer,100,M,304000
309,2023,SE,Machine Learning Engineer,100,M,199000
310,2023,SE,Data Engineer,0,M,150000
311,2023,SE,Data Engineer,0,M,130000
312,2023,SE,Data Scientist,100,M,140000
313,2023,SE,Data Scientist,100,M,110000
314,2023,MI,Data Analyst,0,M,90000
315,2023,MI,Data Analyst,0,M,75000
316,2023,SE,Data Engineer,0,M,240000
317,2023,SE,Data Engineer,0,M,183600
318,2023,MI,Data Specialist,0,M,130000
319,2023,MI,Data Specialist,0,M,80000
320,2023,SE,Data Engineer,0,M,250000
321,2023,SE,Data Engineer,0,M,150000
322,2023,SE,Data Analytics Manager,100,M,160000
323,2023,SE,Data Analytics Manager,100,M,120000
324,2023,SE,Machine Learning Engineer,0,M,289076
325,2023,SE,Machine Learning Engineer,0,M,202353
326,2023,SE,Data Engineer,0,M,145000
327,2023,SE,Data Engineer,0,M,120000
328,2023,SE,Data Analyst,0,M,155000
329,2023,SE,Data Analyst,0,M,106000
330,2023,SE,Data Engineer,0,M,200000
331,2023,SE,Data Engineer,0,M,160000
332,2023,SE,Data Scientist,100,M,157750
333,2023,SE,Data Scientist,100,M,104650
334,2023,MI,Data Scientist,100,M,180000
335,2023,MI,Data Scientist,100,M,140000
336,2023,EX,Data Scientist,0,M,200000
337,2023,EX,Data Scientist,0,M,145000
338,2023,MI,Lead Data Analyst,0,L,68000
339,2023,EN,BI Data Engineer,100,M,60000
340,2023,EN,Data Engineer,0,M,85000
341,2023,EN,Data Engineer,0,M,65000
342,2023,MI,Data Engineer,0,M,125000
343,2023,MI,Data Engineer,0,M,90000
344,2023,SE,Data Analyst,100,M,105000
345,2023,SE,Data Analyst,100,M,90000
346,2023,SE,Analytics Engineer,0,M,179820
347,2023,SE,Analytics Engineer,0,M,143860
348,2023,SE,Data Analyst,0,M,135000
349,2023,SE,Data Analyst,0,M,105500
350,2023,EN,Research Engineer,0,M,155000
351,2023,EN,Research Engineer,0,M,125000
352,2023,SE,Machine Learning Engineer,0,M,241000
353,2023,SE,Machine Learning Engineer,0,M,181000
354,2023,SE,Data Scientist,0,M,252000
355,2023,SE,Data Scientist,0,M,154000
356,2023,EX,Data Architect,0,M,180000
357,2023,EX,Data Architect,0,M,155000
358,2023,SE,Data Scientist,0,M,191765
359,2023,SE,Data Scientist,0,M,134236
360,2023,SE,Data Scientist,100,M,175000
361,2023,SE,Data Scientist,100,M,145000
362,2023,SE,Data Scientist,100,M,237000
363,2023,SE,Data Scientist,100,M,145000
364,2023,EN,Research Engineer,0,M,155000
365,2023,EN,Research Engineer,0,M,125000
366,2023,SE,Data Analyst,0,M,80000
367,2023,SE,Data Analyst,0,M,70000
368,2023,SE,Data Engineer,0,M,146000
369,2023,SE,Data Engineer,0,M,75000
370,2023,EN,Data Analyst,100,M,64200
371,2023,EN,Data Analyst,100,M,56100
372,2023,SE,Machine Learning Engineer,0,M,170000
373,2023,SE,Machine Learning Engineer,0,M,130000
374,2023,SE,Data Analyst,100,M,208450
375,2023,SE,Data Analyst,100,M,170550
376,2023,SE,Machine Learning Engineer,0,M,125000
377,2023,SE,Machine Learning Engineer,0,M,100000
378,2023,MI,Data Manager,0,M,135000
379,2023,MI,Data Manager,0,M,120000
380,2023,SE,Data Scientist,100,M,200000
381,2023,SE,Data Scientist,100,M,170000
382,2023,SE,Applied Scientist,0,L,222200
383,2023,SE,Applied Scientist,0,L,136000
384,2023,SE,Applied Scientist,0,L,260000
385,2023,SE,Applied Scientist,0,L,136000
386,2023,SE,Data Analyst,0,M,153600
387,2023,SE,Data Analyst,0,M,100500
388,2023,SE,Applied Scientist,100,M,205000
389,2023,SE,Applied Scientist,100,M,184000
390,2023,MI,Data Analyst,0,M,182500
391,2023,MI,Data Analyst,0,M,121500
392,2023,SE,Data Engineer,0,M,203100
393,2023,SE,Data Engineer,0,M,114500
394,2023,SE,Data Engineer,0,M,252000
395,2023,SE,Data Engineer,0,M,129000
396,2023,EN,Data Engineer,100,M,92700
397,2023,EN,Data Engineer,100,M,61800
398,2023,SE,Data Engineer,100,M,160000
399,2023,SE,Data Engineer,100,M,130000
400,2023,SE,Data Scientist,0,M,170000
401,2023,SE,Data Scientist,0,M,135000
402,2023,MI,Data Architect,0,M,167500
403,2023,MI,Data Architect,0,M,106500
404,2023,SE,Data Scientist,0,M,195000
405,2023,SE,Data Scientist,0,M,160000
406,2023,MI,Data Engineer,0,M,146000
407,2023,MI,Data Engineer,0,M,75000
408,2023,EX,Data Engineer,100,M,286000
409,2023,EX,Data Engineer,100,M,207000
410,2023,SE,Data Analyst,100,M,100000
411,2023,SE,Data Analyst,100,M,80000
412,2023,SE,Data Engineer,0,M,223250
413,2023,SE,Data Engineer,0,M,178600
414,2023,EX,Director of Data Science,0,M,353200
415,2023,EX,Director of Data Science,0,M,249300
416,2023,MI,Machine Learning Scientist,0,M,230000
417,2023,MI,Machine Learning Scientist,0,M,220000
418,2023,SE,Data Scientist,100,M,297300
419,2023,SE,Data Scientist,100,M,198200
420,2023,MI,Research Scientist,100,M,210000
421,2023,MI,Research Scientist,100,M,151800
422,2023,SE,Data Scientist,100,M,200000
423,2023,SE,Data Scientist,100,M,170000
424,2023,SE,Data Scientist,0,M,317070
425,2023,SE,Data Scientist,0,M,170730
426,2023,SE,Data Engineer,0,M,128000
427,2023,SE,Data Engineer,0,M,81500
428,2023,MI,MLOps Engineer,100,M,134000
429,2023,MI,MLOps Engineer,100,M,124000
430,2023,SE,Data Engineer,0,M,171250
431,2023,SE,Data Engineer,0,M,113750
