,work_year,experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_normalized
0,2023,SE,Data Science & Machine Learning,85847.0,Europe,100,Europe,L,0.255437785746961
1,2023,SE,Data Science & Machine Learning,175000.0,North America,100,North America,M,0.5638192354023136
2,2023,SE,Data Science & Machine Learning,120000.0,North America,100,North America,M,0.3735734811254593
3,2023,SE,Data Science & Machine Learning,222200.0,North America,0,North America,L,0.7270846827089957
4,2023,SE,Data Science & Machine Learning,136000.0,North America,0,North America,L,0.42891770055145323
5,2023,SE,Data Science & Machine Learning,219000.0,North America,0,North America,M,0.7160158388237969
6,2023,SE,Data Science & Machine Learning,141000.0,North America,0,North America,M,0.44621276912207636
7,2023,SE,Data Science & Machine Learning,147100.0,North America,0,North America,M,0.4673127527782366
8,2023,SE,Data Science & Machine Learning,90700.0,North America,0,North America,M,0.2722243793016078
9,2023,SE,Data Analysis & Analytics,130000.0,North America,100,North America,M,0.4081636182667055
10,2023,SE,Data Analysis & Analytics,100000.0,North America,100,North America,M,0.30439320684296683
11,2023,EN,Data Science & Machine Learning,213660.0,North America,0,North America,L,0.6975447055903715
12,2023,EN,Data Science & Machine Learning,130760.0,North America,0,North America,L,0.41079246868944025
13,2023,SE,Data Engineering & Infrastructure,147100.0,North America,0,North America,M,0.4673127527782366
14,2023,SE,Data Engineering & Infrastructure,90700.0,North America,0,North America,M,0.2722243793016078
15,2023,SE,Data Science & Machine Learning,170000.0,North America,0,North America,M,0.5465241668316905
16,2023,SE,Data Science & Machine Learning,150000.0,North America,0,North America,M,0.47734389254919796
17,2023,MI,Data Analysis & Analytics,150000.0,North America,100,North America,M,0.47734389254919796
18,2023,MI,Data Analysis & Analytics,110000.0,North America,100,North America,M,0.33898334398421304
19,2023,SE,Data Science & Machine Learning,275000.0,Europe,0,Europe,M,0.9097206068147758
20,2023,SE,Data Science & Machine Learning,174000.0,Europe,0,Europe,M,0.5603602216881889
21,2023,SE,Data Analysis & Analytics,230000.0,Europe,100,Europe,M,0.7540649896791678
22,2023,SE,Data Analysis & Analytics,143200.0,Europe,100,Europe,M,0.45382259929315055
23,2023,SE,Business Intelligence (BI),225000.0,North America,0,North America,M,0.7367699211085447
24,2023,SE,Business Intelligence (BI),156400.0,North America,0,North America,M,0.49948158031959555
25,2023,SE,Data Science & Machine Learning,200000.0,North America,0,North America,M,0.6502945782554291
26,2023,SE,Data Science & Machine Learning,130000.0,North America,0,North America,M,0.4081636182667055
27,2023,SE,Data Management,90000.0,North America,0,North America,M,0.2698030697017206
28,2023,SE,Data Management,72000.0,North America,0,North America,M,0.20754082284747738
29,2023,SE,Data Engineering & Infrastructure,253200.0,North America,0,North America,M,0.8343141078468591
30,2023,SE,Data Engineering & Infrastructure,90700.0,North America,0,North America,M,0.2722243793016078
31,2023,SE,Artificial Intelligence (AI),301099.75,North America,0,North America,M,1.0
32,2023,SE,Artificial Intelligence (AI),184590.0,North America,0,North America,M,0.5969911769207686
33,2023,MI,Data Engineering & Infrastructure,162500.0,North America,0,North America,M,0.5205815639757557
34,2023,MI,Data Engineering & Infrastructure,130000.0,North America,0,North America,M,0.4081636182667055
35,2023,MI,Data Analysis & Analytics,105380.0,North America,0,North America,M,0.3230027006249573
36,2023,MI,Data Analysis & Analytics,64500.0,North America,0,North America,M,0.18159821999154271
37,2023,EN,Data Management,100000.0,Other,100,Other,L,0.30439320684296683
38,2023,EN,Data Management,30000.0,Other,100,Other,L,0.06226224685424322
39,2022,MI,Data Science & Machine Learning,20984.0,Other,50,Other,L,0.031075779207695615
40,2023,EN,Data Science & Machine Learning,204620.0,North America,0,North America,L,0.6662752216146849
41,2023,EN,Data Science & Machine Learning,110680.0,North America,0,North America,L,0.3413354733098178
42,2023,SE,Data Engineering & Infrastructure,270703.0,North America,0,North America,M,0.8948572248851824
43,2023,SE,Data Engineering & Infrastructure,221484.0,North America,0,North America,M,0.7246080288896826
44,2023,SE,Data Science & Machine Learning,212750.0,North America,100,North America,M,0.6943970031105181
45,2023,SE,Data Science & Machine Learning,185000.0,North America,100,North America,M,0.5984093725435597
46,2023,SE,Data Science & Machine Learning,262000.0,North America,100,North America,M,0.8647534285311558
47,2023,SE,Data Science & Machine Learning,245000.0,North America,100,North America,M,0.8059501953910372
48,2023,SE,Data Science & Machine Learning,275300.0,North America,100,North America,M,0.9107583109290133
49,2023,SE,Data Science & Machine Learning,183500.0,North America,100,North America,M,0.5932208519723728
50,2023,SE,Data Science & Machine Learning,218500.0,North America,100,North America,M,0.7142863319667346
51,2023,SE,Data Science & Machine Learning,199098.0,North America,100,North America,M,0.6471745478852887
52,2023,SE,Data Engineering & Infrastructure,203300.0,North America,100,North America,M,0.6617093235120404
53,2023,SE,Data Engineering & Infrastructure,123600.0,North America,100,North America,M,0.38602593049630796
54,2023,SE,Data Science & Machine Learning,189110.0,North America,0,North America,M,0.612625918908612
55,2023,SE,Data Science & Machine Learning,139000.0,North America,0,North America,M,0.4392947416938271
56,2023,EX,Data Science & Machine Learning,258750.0,North America,0,North America,M,0.8535116339602508
57,2023,EX,Data Science & Machine Learning,185000.0,North America,0,North America,M,0.5984093725435597
58,2023,SE,Data Engineering & Infrastructure,231500.0,North America,100,North America,M,0.7592535102503547
59,2023,SE,Data Engineering & Infrastructure,166000.0,North America,100,North America,M,0.532688111975192
60,2023,SE,Data Science & Machine Learning,172500.0,North America,100,North America,M,0.555171701117002
61,2023,SE,Data Science & Machine Learning,110500.0,North America,100,North America,M,0.3407128508412754
62,2023,SE,Data Engineering & Infrastructure,238000.0,North America,0,North America,M,0.7817370993921648
63,2023,SE,Data Engineering & Infrastructure,176000.0,North America,0,North America,M,0.5672782491164382
64,2023,SE,Data Engineering & Infrastructure,237000.0,North America,100,North America,M,0.7782780856780401
65,2023,SE,Data Engineering & Infrastructure,201450.0,North America,100,North America,M,0.6553101481409098
66,2023,SE,Data Science & Machine Learning,301099.75,North America,0,North America,L,1.0
67,2023,SE,Data Science & Machine Learning,159100.0,North America,0,North America,L,0.508820917347732
68,2023,SE,Data Engineering & Infrastructure,115000.0,North America,0,North America,M,0.35627841255483617
69,2023,SE,Data Engineering & Infrastructure,81500.0,North America,0,North America,M,0.24040145313166128
70,2023,SE,Data Science & Machine Learning,237000.0,North America,100,North America,M,0.7782780856780401
71,2023,SE,Data Science & Machine Learning,201450.0,North America,100,North America,M,0.6553101481409098
72,2023,SE,Artificial Intelligence (AI),280000.0,North America,0,North America,M,0.927015675385399
73,2023,SE,Artificial Intelligence (AI),210000.0,North America,0,North America,M,0.6848847153966754
74,2023,SE,Data Engineering & Infrastructure,280100.0,North America,100,North America,M,0.9273615767568114
75,2023,SE,Data Engineering & Infrastructure,168100.0,North America,100,North America,M,0.5399520407748537
76,2023,SE,Data Engineering & Infrastructure,193500.0,North America,100,North America,M,0.6278109891136191
77,2023,SE,Data Engineering & Infrastructure,139000.0,North America,100,North America,M,0.4392947416938271
78,2023,MI,Data Science & Machine Learning,65062.0,Other,0,Other,L,0.18354218569888076
79,2023,SE,Data Science & Machine Learning,150000.0,Europe,100,North America,M,0.47734389254919796
80,2023,MI,Data Science & Machine Learning,69751.0,Other,100,Europe,S,0.19976150100441112
81,2022,EN,Artificial Intelligence (AI),300000.0,Other,50,Other,L,0.9961959496678914
82,2023,MI,Data Science & Machine Learning,96578.0,Europe,100,Europe,L,0.29255646191323237
83,2023,SE,Business Intelligence (BI),185900.0,North America,0,North America,M,0.6015224848862719
84,2023,SE,Business Intelligence (BI),129300.0,North America,0,North America,M,0.40574230866681826
85,2023,SE,Data Engineering & Infrastructure,225000.0,North America,100,North America,M,0.7367699211085447
86,2023,SE,Data Engineering & Infrastructure,175000.0,North America,100,North America,M,0.5638192354023136
87,2023,SE,Data Engineering & Infrastructure,185000.0,North America,0,North America,M,0.5984093725435597
88,2023,SE,Data Engineering & Infrastructure,140000.0,North America,0,North America,M,0.44275375540795175
89,2023,SE,Data Science & Machine Learning,48289.0,Europe,0,Europe,M,0.12552414867186845
90,2023,SE,Data Science & Machine Learning,38631.0,Europe,0,Europe,M,0.09211699422085284
91,2023,SE,Data Science & Machine Learning,105000.0,North America,0,North America,M,0.32168827541358996
92,2023,SE,Data Science & Machine Learning,70000.0,North America,0,North America,M,0.20062279541922814
93,2023,EN,Data Science & Machine Learning,163196.0,North America,0,North America,M,0.5229890375207865
94,2023,EN,Data Science & Machine Learning,145885.0,North America,0,North America,M,0.4631100511155751
95,2023,SE,Data Engineering & Infrastructure,217000.0,North America,100,North America,M,0.7090978113955477
96,2023,SE,Data Engineering & Infrastructure,185000.0,North America,100,North America,M,0.5984093725435597
97,2023,SE,Data Analysis & Analytics,202800.0,North America,0,North America,L,0.6599798166549781
98,2023,SE,Data Analysis & Analytics,104300.0,North America,0,North America,L,0.31926696581370273
99,2023,SE,Data Analysis & Analytics,145000.0,North America,0,North America,M,0.46004882397857483
100,2023,SE,Data Analysis & Analytics,65000.0,North America,0,North America,M,0.18332772684860502
101,2023,SE,Data Engineering & Infrastructure,165000.0,North America,0,North America,M,0.5292290982610673
102,2023,SE,Data Engineering & Infrastructure,132300.0,North America,0,North America,M,0.41611934980919213
103,2023,SE,Data Engineering & Infrastructure,179170.0,North America,0,North America,M,0.5782433225902133
104,2023,SE,Data Engineering & Infrastructure,94300.0,North America,0,North America,M,0.2846768286724565
