work_year,experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,Data Science & Machine Learning,131526.0,Europe,100,Europe,L
2023,SE,Data Science & Machine Learning,175000.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,120000.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,0,North America,L
2023,SE,Data Science & Machine Learning,136000.0,North America,0,North America,L
2023,SE,Data Science & Machine Learning,131526.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,141000.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,147100.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,0,North America,M
2023,SE,Data Analysis & Analytics,130000.0,North America,100,North America,M
2023,SE,Data Analysis & Analytics,100000.0,North America,100,North America,M
2023,EN,Data Science & Machine Learning,131526.0,North America,0,North America,L
2023,EN,Data Science & Machine Learning,130760.0,North America,0,North America,L
2023,SE,Data Engineering & Infrastructure,147100.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,170000.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,150000.0,North America,0,North America,M
2023,MI,Data Analysis & Analytics,150000.0,North America,100,North America,M
2023,MI,Data Analysis & Analytics,110000.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,Europe,0,Europe,M
2023,SE,Data Science & Machine Learning,174000.0,Europe,0,Europe,M
2023,SE,Data Analysis & Analytics,131526.0,Europe,100,Europe,M
2023,SE,Data Analysis & Analytics,143200.0,Europe,100,Europe,M
2023,SE,Business Intelligence (BI),131526.0,North America,0,North America,M
2023,SE,Business Intelligence (BI),156400.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,130000.0,North America,0,North America,M
2023,SE,Data Management,131526.0,North America,0,North America,M
2023,SE,Data Management,131526.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,0,North America,M
2023,SE,Artificial Intelligence (AI),131526.0,North America,0,North America,M
2023,SE,Artificial Intelligence (AI),131526.0,North America,0,North America,M
2023,MI,Data Engineering & Infrastructure,162500.0,North America,0,North America,M
2023,MI,Data Engineering & Infrastructure,130000.0,North America,0,North America,M
2023,MI,Data Analysis & Analytics,105380.0,North America,0,North America,M
2023,MI,Data Analysis & Analytics,131526.0,North America,0,North America,M
2023,EN,Data Management,100000.0,Other,100,Other,L
2023,EN,Data Management,131526.0,Other,100,Other,L
2022,MI,Data Science & Machine Learning,131526.0,Other,50,Other,L
2023,EN,Data Science & Machine Learning,131526.0,North America,0,North America,L
2023,EN,Data Science & Machine Learning,110680.0,North America,0,North America,L
2023,SE,Data Engineering & Infrastructure,131526.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,123600.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,139000.0,North America,0,North America,M
2023,EX,Data Science & Machine Learning,131526.0,North America,0,North America,M
2023,EX,Data Science & Machine Learning,131526.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,166000.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,172500.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,110500.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,0,North America,L
2023,SE,Data Science & Machine Learning,159100.0,North America,0,North America,L
2023,SE,Data Engineering & Infrastructure,115000.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,0,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Data Science & Machine Learning,131526.0,North America,100,North America,M
2023,SE,Artificial Intelligence (AI),131526.0,North America,0,North America,M
2023,SE,Artificial Intelligence (AI),131526.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,168100.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,139000.0,North America,100,North America,M
2023,MI,Data Science & Machine Learning,131526.0,Other,0,Other,L
2023,SE,Data Science & Machine Learning,150000.0,Europe,100,North America,M
2023,MI,Data Science & Machine Learning,131526.0,Other,100,Europe,S
2022,EN,Artificial Intelligence (AI),131526.0,Other,50,Other,L
2023,MI,Data Science & Machine Learning,96578.0,Europe,100,Europe,L
2023,SE,Business Intelligence (BI),131526.0,North America,0,North America,M
2023,SE,Business Intelligence (BI),129300.0,North America,0,North America,M
2023,SE,Data Engineering & Infrastructure,131526.0,North America,100,North America,M
2023,SE,Data Engineering & Infrastructure,175000.0,North America,100,North America,M
