work_year,experience_level,job_title,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
2023,SE,Data Science & Machine Learning,Europe,100,Europe,L,85847.0
2023,SE,Data Science & Machine Learning,North America,100,North America,M,175000.0
2023,SE,Data Science & Machine Learning,North America,100,North America,M,120000.0
2023,SE,Data Science & Machine Learning,North America,0,North America,L,222200.0
2023,SE,Data Science & Machine Learning,North America,0,North America,L,136000.0
2023,SE,Data Science & Machine Learning,North America,0,North America,M,219000.0
2023,SE,Data Science & Machine Learning,North America,0,North America,M,141000.0
2023,SE,Data Science & Machine Learning,North America,0,North America,M,147100.0
2023,SE,Data Science & Machine Learning,North America,0,North America,M,90700.0
2023,SE,Data Analysis & Analytics,North America,100,North America,M,130000.0
2023,SE,Data Analysis & Analytics,North America,100,North America,M,100000.0
2023,EN,Data Science & Machine Learning,North America,0,North America,L,213660.0
2023,EN,Data Science & Machine Learning,North America,0,North America,L,130760.0
2023,SE,Data Engineering & Infrastructure,North America,0,North America,M,147100.0
2023,SE,Data Engineering & Infrastructure,North America,0,North America,M,90700.0
2023,SE,Data Science & Machine Learning,North America,0,North America,M,170000.0
2023,SE,Data Science & Machine Learning,North America,0,North America,M,150000.0
2023,MI,Data Analysis & Analytics,North America,100,North America,M,150000.0
2023,MI,Data Analysis & Analytics,North America,100,North America,M,110000.0
2023,SE,Data Science & Machine Learning,Europe,0,Europe,M,275000.0
2023,SE,Data Science & Machine Learning,Europe,0,Europe,M,174000.0
2023,SE,Data Analysis & Analytics,Europe,100,Europe,M,230000.0
2023,SE,Data Analysis & Analytics,Europe,100,Europe,M,143200.0
2023,SE,Business Intelligence (BI),North America,0,North America,M,225000.0
2023,SE,Business Intelligence (BI),North America,0,North America,M,156400.0
2023,SE,Data Science & Machine Learning,North America,0,North America,M,200000.0
2023,SE,Data Science & Machine Learning,North America,0,North America,M,130000.0
2023,SE,Data Management,North America,0,North America,M,90000.0
2023,SE,Data Management,North America,0,North America,M,72000.0
2023,SE,Data Engineering & Infrastructure,North America,0,North America,M,253200.0
2023,SE,Data Engineering & Infrastructure,North America,0,North America,M,90700.0
2023,SE,Artificial Intelligence (AI),North America,0,North America,M,301099.75
2023,SE,Artificial Intelligence (AI),North America,0,North America,M,184590.0
2023,MI,Data Engineering & Infrastructure,North America,0,North America,M,162500.0
2023,MI,Data Engineering & Infrastructure,North America,0,North America,M,130000.0
2023,MI,Data Analysis & Analytics,North America,0,North America,M,105380.0
2023,MI,Data Analysis & Analytics,North America,0,North America,M,64500.0
2023,EN,Data Management,Other,100,Other,L,100000.0
2023,EN,Data Management,Other,100,Other,L,30000.0
2022,MI,Data Science & Machine Learning,Other,50,Other,L,20984.0
2023,EN,Data Science & Machine Learning,North America,0,North America,L,204620.0
2023,EN,Data Science & Machine Learning,North America,0,North America,L,110680.0
2023,SE,Data Engineering & Infrastructure,North America,0,North America,M,270703.0
2023,SE,Data Engineering & Infrastructure,North America,0,North America,M,221484.0
2023,SE,Data Science & Machine Learning,North America,100,North America,M,212750.0
2023,SE,Data Science & Machine Learning,North America,100,North America,M,185000.0
2023,SE,Data Science & Machine Learning,North America,100,North America,M,262000.0
2023,SE,Data Science & Machine Learning,North America,100,North America,M,245000.0
