,work_year,experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2023,SE,Data Science & Machine Learning,85847.0,Europe,100,Europe,L
1,2023,SE,Data Science & Machine Learning,175000.0,North America,100,North America,M
2,2023,SE,Data Science & Machine Learning,120000.0,North America,100,North America,M
3,2023,SE,Data Science & Machine Learning,222200.0,North America,0,North America,L
4,2023,SE,Data Science & Machine Learning,136000.0,North America,0,North America,L
5,2023,SE,Data Science & Machine Learning,219000.0,North America,0,North America,M
6,2023,SE,Data Science & Machine Learning,141000.0,North America,0,North America,M
7,2023,SE,Data Science & Machine Learning,147100.0,North America,0,North America,M
8,2023,SE,Data Science & Machine Learning,90700.0,North America,0,North America,M
9,2023,SE,Data Analysis & Analytics,130000.0,North America,100,North America,M
10,2023,SE,Data Analysis & Analytics,100000.0,North America,100,North America,M
11,2023,EN,Data Science & Machine Learning,213660.0,North America,0,North America,L
12,2023,EN,Data Science & Machine Learning,130760.0,North America,0,North America,L
13,2023,SE,Data Engineering & Infrastructure,147100.0,North America,0,North America,M
14,2023,SE,Data Engineering & Infrastructure,90700.0,North America,0,North America,M
15,2023,SE,Data Science & Machine Learning,170000.0,North America,0,North America,M
16,2023,SE,Data Science & Machine Learning,150000.0,North America,0,North America,M
17,2023,MI,Data Analysis & Analytics,150000.0,North America,100,North America,M
18,2023,MI,Data Analysis & Analytics,110000.0,North America,100,North America,M
19,2023,SE,Data Science & Machine Learning,275000.0,Europe,0,Europe,M
20,2023,SE,Data Science & Machine Learning,174000.0,Europe,0,Europe,M
21,2023,SE,Data Analysis & Analytics,230000.0,Europe,100,Europe,M
22,2023,SE,Data Analysis & Analytics,143200.0,Europe,100,Europe,M
23,2023,SE,Business Intelligence (BI),225000.0,North America,0,North America,M
24,2023,SE,Business Intelligence (BI),156400.0,North America,0,North America,M
25,2023,SE,Data Science & Machine Learning,200000.0,North America,0,North America,M
26,2023,SE,Data Science & Machine Learning,130000.0,North America,0,North America,M
27,2023,SE,Data Management,90000.0,North America,0,North America,M
28,2023,SE,Data Management,72000.0,North America,0,North America,M
29,2023,SE,Data Engineering & Infrastructure,253200.0,North America,0,North America,M
30,2023,SE,Data Engineering & Infrastructure,90700.0,North America,0,North America,M
31,2023,SE,Artificial Intelligence (AI),301099.75,North America,0,North America,M
32,2023,SE,Artificial Intelligence (AI),184590.0,North America,0,North America,M
33,2023,MI,Data Engineering & Infrastructure,162500.0,North America,0,North America,M
34,2023,MI,Data Engineering & Infrastructure,130000.0,North America,0,North America,M
35,2023,MI,Data Analysis & Analytics,105380.0,North America,0,North America,M
36,2023,MI,Data Analysis & Analytics,64500.0,North America,0,North America,M
37,2023,EN,Data Management,100000.0,Other,100,Other,L
38,2023,EN,Data Management,30000.0,Other,100,Other,L
39,2022,MI,Data Science & Machine Learning,20984.0,Other,50,Other,L
40,2023,EN,Data Science & Machine Learning,204620.0,North America,0,North America,L
41,2023,EN,Data Science & Machine Learning,110680.0,North America,0,North America,L
42,2023,SE,Data Engineering & Infrastructure,270703.0,North America,0,North America,M
43,2023,SE,Data Engineering & Infrastructure,221484.0,North America,0,North America,M
44,2023,SE,Data Science & Machine Learning,212750.0,North America,100,North America,M
45,2023,SE,Data Science & Machine Learning,185000.0,North America,100,North America,M
46,2023,SE,Data Science & Machine Learning,262000.0,North America,100,North America,M
47,2023,SE,Data Science & Machine Learning,245000.0,North America,100,North America,M
48,2023,SE,Data Science & Machine Learning,275300.0,North America,100,North America,M
49,2023,SE,Data Science & Machine Learning,183500.0,North America,100,North America,M
50,2023,SE,Data Science & Machine Learning,218500.0,North America,100,North America,M
51,2023,SE,Data Science & Machine Learning,199098.0,North America,100,North America,M
52,2023,SE,Data Engineering & Infrastructure,203300.0,North America,100,North America,M
53,2023,SE,Data Engineering & Infrastructure,123600.0,North America,100,North America,M
54,2023,SE,Data Science & Machine Learning,189110.0,North America,0,North America,M
55,2023,SE,Data Science & Machine Learning,139000.0,North America,0,North America,M
56,2023,EX,Data Science & Machine Learning,258750.0,North America,0,North America,M
57,2023,EX,Data Science & Machine Learning,185000.0,North America,0,North America,M
58,2023,SE,Data Engineering & Infrastructure,231500.0,North America,100,North America,M
59,2023,SE,Data Engineering & Infrastructure,166000.0,North America,100,North America,M
60,2023,SE,Data Science & Machine Learning,172500.0,North America,100,North America,M
61,2023,SE,Data Science & Machine Learning,110500.0,North America,100,North America,M
62,2023,SE,Data Engineering & Infrastructure,238000.0,North America,0,North America,M
63,2023,SE,Data Engineering & Infrastructure,176000.0,North America,0,North America,M
64,2023,SE,Data Engineering & Infrastructure,237000.0,North America,100,North America,M
65,2023,SE,Data Engineering & Infrastructure,201450.0,North America,100,North America,M
66,2023,SE,Data Science & Machine Learning,301099.75,North America,0,North America,L
67,2023,SE,Data Science & Machine Learning,159100.0,North America,0,North America,L
68,2023,SE,Data Engineering & Infrastructure,115000.0,North America,0,North America,M
69,2023,SE,Data Engineering & Infrastructure,81500.0,North America,0,North America,M
70,2023,SE,Data Science & Machine Learning,237000.0,North America,100,North America,M
71,2023,SE,Data Science & Machine Learning,201450.0,North America,100,North America,M
72,2023,SE,Artificial Intelligence (AI),280000.0,North America,0,North America,M
73,2023,SE,Artificial Intelligence (AI),210000.0,North America,0,North America,M
74,2023,SE,Data Engineering & Infrastructure,280100.0,North America,100,North America,M
75,2023,SE,Data Engineering & Infrastructure,168100.0,North America,100,North America,M
76,2023,SE,Data Engineering & Infrastructure,193500.0,North America,100,North America,M
77,2023,SE,Data Engineering & Infrastructure,139000.0,North America,100,North America,M
78,2023,MI,Data Science & Machine Learning,65062.0,Other,0,Other,L
79,2023,SE,Data Science & Machine Learning,150000.0,Europe,100,North America,M
80,2023,MI,Data Science & Machine Learning,69751.0,Other,100,Europe,S
81,2022,EN,Artificial Intelligence (AI),300000.0,Other,50,Other,L
82,2023,MI,Data Science & Machine Learning,96578.0,Europe,100,Europe,L
83,2023,SE,Business Intelligence (BI),185900.0,North America,0,North America,M
84,2023,SE,Business Intelligence (BI),129300.0,North America,0,North America,M
85,2023,SE,Data Engineering & Infrastructure,225000.0,North America,100,North America,M
86,2023,SE,Data Engineering & Infrastructure,175000.0,North America,100,North America,M
87,2023,SE,Data Engineering & Infrastructure,185000.0,North America,0,North America,M
88,2023,SE,Data Engineering & Infrastructure,140000.0,North America,0,North America,M
89,2023,SE,Data Science & Machine Learning,48289.0,Europe,0,Europe,M
90,2023,SE,Data Science & Machine Learning,38631.0,Europe,0,Europe,M
91,2023,SE,Data Science & Machine Learning,105000.0,North America,0,North America,M
92,2023,SE,Data Science & Machine Learning,70000.0,North America,0,North America,M
93,2023,EN,Data Science & Machine Learning,163196.0,North America,0,North America,M
94,2023,EN,Data Science & Machine Learning,145885.0,North America,0,North America,M
95,2023,SE,Data Engineering & Infrastructure,217000.0,North America,100,North America,M
96,2023,SE,Data Engineering & Infrastructure,185000.0,North America,100,North America,M
97,2023,SE,Data Analysis & Analytics,202800.0,North America,0,North America,L
98,2023,SE,Data Analysis & Analytics,104300.0,North America,0,North America,L
99,2023,SE,Data Analysis & Analytics,145000.0,North America,0,North America,M
100,2023,SE,Data Analysis & Analytics,65000.0,North America,0,North America,M
101,2023,SE,Data Engineering & Infrastructure,165000.0,North America,0,North America,M
102,2023,SE,Data Engineering & Infrastructure,132300.0,North America,0,North America,M
103,2023,SE,Data Engineering & Infrastructure,179170.0,North America,0,North America,M
104,2023,SE,Data Engineering & Infrastructure,94300.0,North America,0,North America,M
105,2023,SE,Data Analysis & Analytics,152500.0,North America,0,North America,M
106,2023,SE,Data Analysis & Analytics,116450.0,North America,0,North America,M
107,2023,SE,Data Engineering & Infrastructure,247300.0,North America,0,North America,M
108,2023,SE,Data Engineering & Infrastructure,133800.0,North America,0,North America,M
109,2023,SE,Data Science & Machine Learning,203000.0,North America,0,North America,M
110,2023,SE,Data Science & Machine Learning,133000.0,North America,0,North America,M
111,2023,EN,Data Science & Machine Learning,220000.0,North America,50,North America,L
112,2022,EN,Data Science & Machine Learning,56536.0,Europe,100,Europe,S
113,2023,SE,Data Science & Machine Learning,150000.0,North America,0,North America,M
114,2023,SE,Data Science & Machine Learning,120000.0,North America,0,North America,M
115,2023,SE,Data Analysis & Analytics,289800.0,North America,0,North America,M
116,2023,SE,Data Analysis & Analytics,214000.0,North America,0,North America,M
117,2023,SE,Data Analysis & Analytics,179820.0,North America,0,North America,M
118,2023,SE,Data Analysis & Analytics,143860.0,North America,0,North America,M
119,2023,SE,Data Science & Machine Learning,283200.0,North America,100,North America,M
120,2023,SE,Data Science & Machine Learning,188800.0,North America,100,North America,M
121,2023,SE,Data Analysis & Analytics,289800.0,North America,0,North America,M
122,2023,SE,Data Analysis & Analytics,214200.0,North America,0,North America,M
123,2023,SE,Data Engineering & Infrastructure,185900.0,North America,0,North America,M
124,2023,SE,Data Engineering & Infrastructure,129300.0,North America,0,North America,M
125,2023,SE,Data Engineering & Infrastructure,252000.0,North America,0,North America,M
126,2023,SE,Data Engineering & Infrastructure,129000.0,North America,0,North America,M
127,2023,MI,Data Analysis & Analytics,155000.0,North America,0,North America,M
128,2023,MI,Data Analysis & Analytics,140000.0,North America,0,North America,M
129,2023,SE,Data Engineering & Infrastructure,161800.0,North America,100,North America,M
130,2023,SE,Data Engineering & Infrastructure,141600.0,North America,100,North America,M
131,2023,SE,Data Science & Machine Learning,301099.75,North America,0,North America,L
